id,name,position,team_id,team_name,games,games_sub,games_started,mins_played,goals,own_goals,headed_goals,kicked_goals,game_winning_goals,pk_goals,assists,game_winning_assist,shots,shots_on_goal,crosses,passes,touches,interceptions,blocks,tackles,clears,goal_mouth_blocks,fouls_committed,fouls_suffered,yellow_cards,red_cards,Tm,Tm_id,uniform_name,height,weight,dob,nationality
587682,Luciano Abecasis,D,7254,Godoy Cruz,22,1,21,1895,1,1,0,1,0,0,6,2,17,6,109,562,2169,45,47,47,134,0,27,34,3,0,Godoy Cruz,7254,29,175.0,81.0,1990-06-04,Argentina
537999,Mathias Abero,D,8211,Tigre,11,1,10,906,0,0,0,0,0,0,0,0,6,1,40,209,852,27,26,21,93,0,25,12,5,0,Atletico Tucuman,19944,16,184.0,81.0,1990-04-09,Uruguay
747690,Ramon Abila,F,,,20,6,14,1267,10,0,2,8,4,0,6,3,27,18,12,154,658,4,4,6,15,0,7,26,3,0,Boca Juniors,7251,17,180.0,88.0,1989-10-14,Argentina
863988,Luis Abram,D,7244,Velez Sarsfield,12,0,12,1026,0,0,0,0,0,0,1,0,5,1,5,397,1224,15,20,20,114,0,12,10,2,1,Velez Sarsfield,7244,29,181.0,76.0,1996-02-27,Peru
975880,Joans Acevedo,M,7245,San Lorenzo,2,1,1,72,0,0,0,0,0,0,0,0,1,0,2,37,120,0,1,2,5,0,2,3,0,0,San Lorenzo,7245,40,172.0,,1997-02-06,Argentina
692733,Nelson Acevedo,M,24114,Union Santa Fe,27,1,26,2172,0,0,0,0,0,0,2,2,24,5,3,998,2904,60,44,100,139,0,40,29,4,0,Union Santa Fe,24114,5,180.0,78.0,1988-07-11,Argentina
747675,Guillermo Acosta,M,19944,Atletico Tucuman,21,1,20,1779,4,0,0,4,1,0,1,0,20,5,74,696,2155,62,53,49,187,0,31,19,4,0,Atletico Tucuman,19944,8,168.0,73.0,1988-10-31,Argentina
375276,Lautaro Acosta,F,7238,Lanus,21,4,17,1576,3,0,1,2,0,0,1,1,23,17,30,371,2126,19,29,24,30,0,14,63,4,0,Lanus,7238,7,170.0,72.0,1988-03-14,Argentina
881197,Mauricio Affonso,F,19944,Atletico Tucuman,12,7,5,525,1,0,0,1,1,0,1,0,11,3,3,58,338,1,1,4,11,0,14,7,0,0,Atletico Tucuman,19944,9,192.0,73.0,1992-01-26,Uruguay
825236,Emiliano Aguero,M,8210,San Martin de San Juan,16,4,12,1008,0,0,0,0,0,0,0,0,6,3,3,464,1263,19,22,30,70,0,26,5,4,0,San Martin de San Juan,8210,14,179.0,69.0,1995-01-21,Argentina
1073562,Lucas Aguero,F,7254,Godoy Cruz,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,0,0,0,Godoy Cruz,7254,,,,0,
407601,Pablo Aguilar,D,8210,San Martin de San Juan,8,1,7,642,0,0,0,0,0,0,1,0,0,0,30,317,771,9,9,5,37,0,4,4,1,0,San Martin de San Juan,8210,25,167.0,63.0,1984-09-13,Argentina
1085797,Augusto Aguirre,D,7250,River Plate,1,0,1,90,0,0,0,0,0,0,0,0,1,1,1,19,74,0,4,2,10,0,5,0,1,0,River Plate,7250,37,184.0,77.0,1999-08-02,Argentina
510941,Jonas Aguirre,M,7255,Belgrano,12,5,7,643,0,0,0,0,0,0,1,1,25,9,56,155,909,8,7,8,16,0,8,9,0,0,Belgrano,7255,20,176.0,67.0,1992-03-05,Argentina
471782,Nicolas Aguirre,M,7238,Lanus,4,1,3,205,0,0,0,0,0,0,0,0,5,1,0,77,232,2,4,5,6,0,6,6,2,1,,7244,,175.0,75.0,1990-06-27,Argentina
850437,Gabriel Alanis,M,7248,Arsenal,14,2,12,1047,1,0,0,1,0,0,3,0,24,11,43,215,1119,12,12,20,29,0,25,9,2,0,Belgrano,7255,22,186.0,73.0,1994-03-16,Argentina
597860,Lucas Alario,F,7250,River Plate,1,0,1,90,0,0,0,0,0,0,0,0,2,2,0,26,89,0,0,0,0,0,1,3,0,0,,24791,,184.0,79.0,1992-10-08,Argentina
729652,Lucas Albertengo,F,7249,Independiente,10,3,7,581,0,0,0,0,0,0,0,0,9,2,11,117,550,6,12,22,39,0,6,10,1,0,Estudiantes de La Plata,7237,7,178.0,73.0,1991-01-30,Argentina
944713,Omar Alderete,D,7241,Gimnasia LP,22,0,22,1977,1,0,0,1,0,0,0,0,15,1,9,749,2928,70,32,42,300,0,43,10,7,1,Huracan,7363,25,190.0,92.0,1996-12-26,Paraguay
491896,Brahian Aleman,M,7241,Gimnasia LP,26,3,23,2085,5,0,0,5,2,1,7,2,70,24,203,645,3262,32,35,37,91,0,36,89,2,0,Gimnasia LP,7241,10,177.0,73.0,1989-12-23,Uruguay
745092,Christian Aleman,M,7237,Estudiantes de La Plata,4,2,2,236,1,0,0,1,1,0,0,0,2,1,14,48,241,2,2,3,4,0,5,3,0,0,Estudiantes de La Plata,7237,27,185.0,72.0,1996-02-05,Ecuador
1099673,Brian Alferez,D,7254,Godoy Cruz,2,2,0,23,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,3,0,2,1,1,0,Godoy Cruz,7254,3,,,1998-04-04,Argentina
