team,week,goals,assists,shots,shots_on_goal,fouls_committed,yellow_cards,red_cards,offsides,corners,possession,passes,interceptions,home,shot_accuracy,opp_shots,opp_shots_on_goal,opp_yellow_cards,opp_red_cards,opp_goals,opp_assists,opp_fouls_committed,opp_team,points_won
Tigre,1.0,0.0,0.0,16.0,5.0,14.0,3.0,0.0,3.0,8.0,0.47,184.0,28.0,1.2,0.3125,14.0,5.0,4.0,0.0,3.0,3.0,16.0,Velez Sarsfield,0
Velez Sarsfield,1.0,3.0,3.0,14.0,5.0,16.0,4.0,0.0,2.0,1.0,0.53,219.0,36.0,1.0,0.35714285714285715,16.0,5.0,3.0,0.0,0.0,0.0,14.0,Tigre,3
Banfield,1.0,2.0,1.0,13.0,9.0,16.0,1.0,0.0,7.0,5.0,0.43,188.0,39.0,1.2,0.6923076923076923,11.0,3.0,4.0,1.0,1.0,1.0,17.0,Belgrano,3
Belgrano,1.0,1.0,1.0,11.0,3.0,17.0,4.0,1.0,0.0,6.0,0.57,347.0,30.0,1.0,0.2727272727272727,13.0,9.0,1.0,0.0,2.0,1.0,16.0,Banfield,0
Defensa y Justicia,1.0,4.0,2.0,19.0,12.0,16.0,3.0,1.0,1.0,7.0,0.47,280.0,37.0,1.2,0.631578947368421,11.0,5.0,2.0,0.0,4.0,3.0,13.0,Gimnasia LP,1
Gimnasia LP,1.0,4.0,3.0,11.0,5.0,13.0,2.0,0.0,3.0,6.0,0.53,334.0,18.0,1.0,0.45454545454545453,19.0,12.0,3.0,1.0,4.0,2.0,16.0,Defensa y Justicia,1
Colon,1.0,1.0,0.0,6.0,1.0,16.0,4.0,0.0,0.0,4.0,0.51,262.0,27.0,1.2,0.16666666666666666,18.0,6.0,3.0,0.0,1.0,1.0,16.0,Rosario Central,1
Rosario Central,1.0,1.0,1.0,18.0,6.0,16.0,3.0,0.0,2.0,5.0,0.49,245.0,23.0,1.0,0.3333333333333333,6.0,1.0,4.0,0.0,1.0,0.0,16.0,Colon,1
Talleres,1.0,5.0,3.0,17.0,10.0,6.0,1.0,0.0,0.0,8.0,0.41,294.0,15.0,1.2,0.5882352941176471,6.0,3.0,2.0,0.0,2.0,2.0,8.0,Lanus,3
Lanus,1.0,2.0,2.0,6.0,3.0,8.0,2.0,0.0,0.0,4.0,0.59,468.0,24.0,1.0,0.5,17.0,10.0,1.0,0.0,5.0,3.0,6.0,Talleres,0
Independiente,1.0,3.0,3.0,22.0,8.0,9.0,1.0,0.0,0.0,7.0,0.62,470.0,13.0,1.2,0.36363636363636365,5.0,1.0,2.0,0.0,1.0,1.0,18.0,Huracan,3
Huracan,1.0,1.0,1.0,5.0,1.0,18.0,2.0,0.0,1.0,3.0,0.38,159.0,27.0,1.0,0.2,22.0,8.0,1.0,0.0,3.0,3.0,9.0,Independiente,0
San Martin de San Juan,1.0,2.0,2.0,15.0,7.0,12.0,2.0,0.0,1.0,8.0,0.54,311.0,14.0,1.2,0.4666666666666667,7.0,1.0,2.0,0.0,0.0,0.0,15.0,Patronato,3
Patronato,1.0,0.0,0.0,7.0,1.0,15.0,2.0,0.0,2.0,3.0,0.46,257.0,13.0,1.0,0.14285714285714285,15.0,7.0,2.0,0.0,2.0,2.0,12.0,San Martin de San Juan,0
Atletico Tucuman,1.0,2.0,2.0,12.0,6.0,16.0,2.0,0.0,3.0,4.0,0.51,257.0,12.0,1.2,0.5,11.0,5.0,3.0,1.0,1.0,0.0,10.0,Godoy Cruz,3
Godoy Cruz,1.0,1.0,0.0,11.0,5.0,10.0,3.0,1.0,3.0,2.0,0.49,226.0,10.0,1.0,0.45454545454545453,12.0,6.0,2.0,0.0,2.0,2.0,16.0,Atletico Tucuman,0
San Lorenzo,1.0,1.0,0.0,10.0,2.0,12.0,2.0,0.0,1.0,6.0,0.54,266.0,10.0,1.2,0.2,11.0,4.0,3.0,0.0,1.0,1.0,11.0,Racing Club,1
Racing Club,1.0,1.0,1.0,11.0,4.0,11.0,3.0,0.0,0.0,5.0,0.46,174.0,11.0,1.0,0.36363636363636365,10.0,2.0,2.0,0.0,1.0,0.0,12.0,San Lorenzo,1
Boca Juniors,1.0,3.0,2.0,13.0,7.0,12.0,0.0,0.0,4.0,3.0,0.69,571.0,37.0,1.2,0.5384615384615384,6.0,3.0,2.0,0.0,0.0,0.0,18.0,Olimpo,3
Olimpo,1.0,0.0,0.0,6.0,3.0,18.0,2.0,0.0,1.0,2.0,0.31,142.0,50.0,1.0,0.5,13.0,7.0,0.0,0.0,3.0,2.0,12.0,Boca Juniors,0
Temperley,1.0,0.0,0.0,14.0,3.0,23.0,2.0,1.0,4.0,2.0,0.41,159.0,15.0,1.2,0.21428571428571427,15.0,7.0,4.0,0.0,1.0,1.0,24.0,River Plate,0
River Plate,1.0,1.0,1.0,15.0,7.0,24.0,4.0,0.0,1.0,7.0,0.59,303.0,6.0,1.0,0.4666666666666667,14.0,3.0,2.0,1.0,0.0,0.0,23.0,Temperley,3
Newell's Old Boys,1.0,1.0,0.0,11.0,2.0,8.0,3.0,0.0,3.0,4.0,0.57,359.0,12.0,1.2,0.18181818181818182,10.0,5.0,2.0,0.0,1.0,0.0,16.0,Union Santa Fe,1
Union Santa Fe,1.0,1.0,0.0,10.0,5.0,16.0,2.0,0.0,0.0,3.0,0.43,205.0,17.0,1.0,0.5,11.0,2.0,3.0,0.0,1.0,0.0,8.0,Newell's Old Boys,1
Estudiantes de La Plata,1.0,2.0,1.0,11.0,4.0,11.0,1.0,0.0,2.0,7.0,0.55,253.0,11.0,1.2,0.36363636363636365,10.0,2.0,5.0,0.0,1.0,1.0,25.0,Arsenal,3
Arsenal,1.0,1.0,1.0,10.0,2.0,25.0,5.0,0.0,0.0,2.0,0.45,206.0,19.0,1.0,0.2,11.0,4.0,1.0,0.0,2.0,1.0,11.0,Estudiantes de La Plata,0
Arsenal,2.0,0.0,0.0,15.0,3.0,9.0,1.0,0.0,3.0,8.0,0.51,239.0,21.0,1.2,0.2,16.0,10.0,1.0,0.0,1.0,1.0,20.0,Colon,0
Colon,2.0,1.0,1.0,16.0,10.0,20.0,1.0,0.0,2.0,7.0,0.49,221.0,16.0,1.0,0.625,15.0,3.0,1.0,0.0,0.0,0.0,9.0,Arsenal,3
Velez Sarsfield,2.0,2.0,1.0,15.0,4.0,13.0,1.0,0.0,4.0,3.0,0.53,300.0,20.0,1.2,0.26666666666666666,10.0,2.0,3.0,1.0,0.0,0.0,18.0,Atletico Tucuman,3
Atletico Tucuman,2.0,0.0,0.0,10.0,2.0,18.0,3.0,1.0,2.0,1.0,0.47,210.0,24.0,1.0,0.2,15.0,4.0,1.0,0.0,2.0,1.0,13.0,Velez Sarsfield,0
Olimpo,2.0,1.0,1.0,12.0,5.0,19.0,1.0,0.0,3.0,8.0,0.49,129.0,16.0,1.2,0.4166666666666667,23.0,7.0,1.0,0.0,1.0,0.0,15.0,Independiente,1
Independiente,2.0,1.0,0.0,23.0,7.0,15.0,1.0,0.0,6.0,7.0,0.51,168.0,20.0,1.0,0.30434782608695654,12.0,5.0,1.0,0.0,1.0,1.0,19.0,Olimpo,1
Belgrano,2.0,1.0,1.0,7.0,2.0,19.0,4.0,0.0,5.0,5.0,0.55,270.0,30.0,1.2,0.2857142857142857,11.0,4.0,2.0,0.0,0.0,0.0,11.0,San Martin de San Juan,3
San Martin de San Juan,2.0,0.0,0.0,11.0,4.0,11.0,2.0,0.0,2.0,8.0,0.45,183.0,12.0,1.0,0.36363636363636365,7.0,2.0,4.0,0.0,1.0,1.0,19.0,Belgrano,0
Estudiantes de La Plata,2.0,0.0,0.0,10.0,6.0,9.0,3.0,0.0,1.0,9.0,0.47,261.0,42.0,1.2,0.6,7.0,4.0,3.0,0.0,1.0,1.0,14.0,Defensa y Justicia,0
Defensa y Justicia,2.0,1.0,1.0,7.0,4.0,14.0,3.0,0.0,1.0,7.0,0.53,357.0,15.0,1.0,0.5714285714285714,10.0,6.0,3.0,0.0,0.0,0.0,9.0,Estudiantes de La Plata,3
Patronato,2.0,2.0,2.0,11.0,4.0,19.0,2.0,0.0,2.0,2.0,0.34,94.0,32.0,1.2,0.36363636363636365,11.0,3.0,2.0,0.0,1.0,1.0,15.0,Argentinos Jrs.,3
Argentinos Jrs.,2.0,1.0,1.0,11.0,3.0,15.0,2.0,0.0,2.0,5.0,0.66,427.0,6.0,1.0,0.2727272727272727,11.0,4.0,2.0,0.0,2.0,2.0,19.0,Patronato,0
Racing Club,2.0,4.0,3.0,21.0,8.0,13.0,1.0,0.0,3.0,6.0,0.49,279.0,28.0,1.2,0.38095238095238093,9.0,6.0,5.0,0.0,1.0,1.0,12.0,Temperley,3
Temperley,2.0,1.0,1.0,9.0,6.0,12.0,5.0,0.0,2.0,2.0,0.51,302.0,6.0,1.0,0.6666666666666666,21.0,8.0,1.0,0.0,4.0,3.0,13.0,Racing Club,0
Chacarita,2.0,1.0,0.0,11.0,3.0,17.0,2.0,0.0,0.0,4.0,0.6,153.0,3.0,1.2,0.2727272727272727,8.0,5.0,4.0,0.0,1.0,1.0,18.0,Tigre,1
Tigre,2.0,1.0,1.0,8.0,5.0,18.0,4.0,0.0,3.0,4.0,0.4,81.0,7.0,1.0,0.625,11.0,3.0,2.0,0.0,1.0,0.0,17.0,Chacarita,1
Godoy Cruz,2.0,2.0,1.0,13.0,6.0,12.0,1.0,1.0,1.0,2.0,0.34,101.0,2.0,1.2,0.46153846153846156,9.0,4.0,2.0,0.0,1.0,1.0,13.0,Talleres,3
Talleres,2.0,1.0,1.0,9.0,4.0,13.0,2.0,0.0,2.0,8.0,0.66,385.0,10.0,1.0,0.4444444444444444,13.0,6.0,1.0,1.0,2.0,1.0,12.0,Godoy Cruz,0
Rosario Central,2.0,0.0,0.0,11.0,2.0,20.0,3.0,0.0,0.0,7.0,0.65,419.0,13.0,1.2,0.18181818181818182,5.0,1.0,0.0,1.0,0.0,0.0,13.0,San Lorenzo,1
San Lorenzo,2.0,0.0,0.0,5.0,1.0,13.0,0.0,1.0,6.0,4.0,0.35,129.0,18.0,1.0,0.2,11.0,2.0,3.0,0.0,0.0,0.0,20.0,Rosario Central,1
River Plate,2.0,3.0,2.0,15.0,6.0,22.0,3.0,0.0,2.0,7.0,0.64,418.0,19.0,1.2,0.4,7.0,1.0,2.0,0.0,1.0,1.0,17.0,Banfield,3
Banfield,2.0,1.0,1.0,7.0,1.0,17.0,2.0,0.0,2.0,2.0,0.36,141.0,12.0,1.0,0.14285714285714285,15.0,6.0,3.0,0.0,3.0,2.0,22.0,River Plate,0
Lanus,2.0,0.0,0.0,9.0,2.0,17.0,3.0,0.0,0.0,1.0,0.45,267.0,17.0,1.2,0.2222222222222222,9.0,6.0,3.0,0.0,1.0,1.0,19.0,Boca Juniors,0
Boca Juniors,2.0,1.0,1.0,9.0,6.0,19.0,3.0,0.0,2.0,3.0,0.55,369.0,20.0,1.0,0.6666666666666666,9.0,2.0,3.0,0.0,0.0,0.0,17.0,Lanus,3
Union Santa Fe,2.0,1.0,1.0,12.0,1.0,18.0,1.0,0.0,1.0,8.0,0.41,149.0,17.0,1.2,0.08333333333333333,8.0,2.0,3.0,0.0,0.0,0.0,12.0,Gimnasia LP,3
Gimnasia LP,2.0,0.0,0.0,8.0,2.0,12.0,3.0,0.0,3.0,4.0,0.59,350.0,11.0,1.0,0.25,12.0,1.0,1.0,0.0,1.0,1.0,18.0,Union Santa Fe,0
Huracan,2.0,1.0,1.0,12.0,5.0,7.0,1.0,0.0,2.0,8.0,0.52,181.0,12.0,1.2,0.4166666666666667,16.0,4.0,3.0,0.0,0.0,0.0,17.0,Newell's Old Boys,3
Newell's Old Boys,2.0,0.0,0.0,16.0,4.0,17.0,3.0,0.0,0.0,2.0,0.48,184.0,6.0,1.0,0.25,12.0,5.0,1.0,0.0,1.0,1.0,7.0,Huracan,0
Tigre,3.0,1.0,0.0,19.0,6.0,13.0,3.0,0.0,2.0,8.0,0.55,254.0,13.0,1.2,0.3157894736842105,11.0,6.0,3.0,0.0,3.0,2.0,18.0,Patronato,0
Patronato,3.0,3.0,2.0,11.0,6.0,18.0,3.0,0.0,0.0,6.0,0.45,185.0,24.0,1.0,0.5454545454545454,19.0,6.0,3.0,0.0,1.0,0.0,13.0,Tigre,3
Colon,3.0,0.0,0.0,17.0,5.0,13.0,0.0,0.0,5.0,7.0,0.56,344.0,30.0,1.2,0.29411764705882354,5.0,3.0,2.0,0.0,0.0,0.0,16.0,Estudiantes de La Plata,1
Estudiantes de La Plata,3.0,0.0,0.0,5.0,3.0,16.0,2.0,0.0,2.0,7.0,0.44,210.0,26.0,1.0,0.6,17.0,5.0,0.0,0.0,0.0,0.0,13.0,Colon,1
Defensa y Justicia,3.0,1.0,0.0,17.0,4.0,7.0,2.0,0.0,3.0,7.0,0.64,473.0,12.0,1.2,0.23529411764705882,10.0,4.0,2.0,0.0,3.0,2.0,12.0,Union Santa Fe,0
Union Santa Fe,3.0,3.0,2.0,10.0,4.0,12.0,2.0,0.0,1.0,5.0,0.36,174.0,14.0,1.0,0.4,17.0,4.0,2.0,0.0,1.0,0.0,7.0,Defensa y Justicia,3
Argentinos Jrs.,3.0,1.0,1.0,7.0,2.0,18.0,2.0,0.0,8.0,3.0,0.58,267.0,48.0,1.2,0.2857142857142857,12.0,4.0,4.0,0.0,2.0,2.0,18.0,Belgrano,0
Belgrano,3.0,2.0,2.0,12.0,4.0,18.0,4.0,0.0,1.0,2.0,0.42,140.0,32.0,1.0,0.3333333333333333,7.0,2.0,2.0,0.0,1.0,1.0,18.0,Argentinos Jrs.,3
Newell's Old Boys,3.0,2.0,2.0,15.0,5.0,12.0,5.0,0.0,3.0,7.0,0.54,274.0,54.0,1.2,0.3333333333333333,14.0,5.0,2.0,0.0,0.0,0.0,14.0,Olimpo,3
Olimpo,3.0,0.0,0.0,14.0,5.0,14.0,2.0,0.0,3.0,3.0,0.46,175.0,27.0,1.0,0.35714285714285715,15.0,5.0,5.0,0.0,2.0,2.0,12.0,Newell's Old Boys,0
San Lorenzo,3.0,1.0,1.0,11.0,4.0,16.0,3.0,0.0,1.0,6.0,0.53,291.0,16.0,1.2,0.36363636363636365,8.0,3.0,2.0,0.0,0.0,0.0,14.0,Arsenal,3
Arsenal,3.0,0.0,0.0,8.0,3.0,14.0,2.0,0.0,4.0,6.0,0.47,249.0,28.0,1.0,0.375,11.0,4.0,3.0,0.0,1.0,1.0,16.0,San Lorenzo,0
Independiente,3.0,0.0,0.0,11.0,3.0,19.0,3.0,0.0,1.0,8.0,0.52,377.0,9.0,1.2,0.2727272727272727,5.0,3.0,2.0,0.0,1.0,0.0,8.0,Lanus,0
Lanus,3.0,1.0,0.0,5.0,3.0,8.0,2.0,0.0,0.0,2.0,0.48,289.0,32.0,1.0,0.6,11.0,3.0,3.0,0.0,0.0,0.0,19.0,Independiente,3
Talleres,3.0,0.0,0.0,9.0,2.0,16.0,4.0,1.0,1.0,4.0,0.58,300.0,7.0,1.2,0.2222222222222222,5.0,2.0,2.0,1.0,0.0,0.0,23.0,Velez Sarsfield,1
Velez Sarsfield,3.0,0.0,0.0,5.0,2.0,23.0,2.0,1.0,0.0,0.0,0.42,156.0,12.0,1.0,0.4,9.0,2.0,4.0,1.0,0.0,0.0,16.0,Talleres,1
Atletico Tucuman,3.0,1.0,0.0,15.0,3.0,16.0,2.0,0.0,4.0,7.0,0.49,202.0,8.0,1.2,0.2,11.0,6.0,2.0,0.0,1.0,1.0,11.0,Chacarita,1
Chacarita,3.0,1.0,1.0,11.0,6.0,11.0,2.0,0.0,1.0,3.0,0.51,242.0,18.0,1.0,0.5454545454545454,15.0,3.0,2.0,0.0,1.0,0.0,16.0,Atletico Tucuman,1
Banfield,3.0,1.0,1.0,10.0,4.0,15.0,2.0,0.0,5.0,5.0,0.4,193.0,11.0,1.2,0.4,7.0,1.0,3.0,0.0,0.0,0.0,13.0,Racing Club,3
Racing Club,3.0,0.0,0.0,7.0,1.0,13.0,3.0,0.0,0.0,2.0,0.6,411.0,13.0,1.0,0.14285714285714285,10.0,4.0,2.0,0.0,1.0,1.0,15.0,Banfield,0
Boca Juniors,3.0,4.0,4.0,17.0,10.0,8.0,0.0,0.0,3.0,2.0,0.59,400.0,31.0,1.2,0.5882352941176471,13.0,4.0,2.0,0.0,1.0,1.0,11.0,Godoy Cruz,3
Godoy Cruz,3.0,1.0,1.0,13.0,4.0,11.0,2.0,0.0,2.0,2.0,0.41,219.0,26.0,1.0,0.3076923076923077,17.0,10.0,0.0,0.0,4.0,4.0,8.0,Boca Juniors,0
San Martin de San Juan,3.0,1.0,0.0,10.0,2.0,14.0,2.0,0.0,0.0,10.0,0.49,234.0,27.0,1.2,0.2,9.0,3.0,1.0,0.0,3.0,3.0,12.0,River Plate,0
